Local time,Open,High,Low,Close,Volume
03.01.2020 15:30:00.000 GMT+0530,1.30675,1.30879,1.30675,1.30783,9825.8398
03.01.2020 16:30:00.000 GMT+0530,1.30783,1.30785,1.30531,1.30586,8579.3096
03.01.2020 17:30:00.000 GMT+0530,1.30586,1.30821,1.30539,1.30799,8736.1104
03.01.2020 18:30:00.000 GMT+0530,1.30801,1.31093,1.30718,1.30719,8608.2695
03.01.2020 19:30:00.000 GMT+0530,1.30720,1.30896,1.30672,1.30692,9152.4102
03.01.2020 20:30:00.000 GMT+0530,1.30708,1.30940,1.30690,1.30713,10920.0498
03.01.2020 21:30:00.000 GMT+0530,1.30712,1.30987,1.30692,1.30894,10434.5195
03.01.2020 22:30:00.000 GMT+0530,1.30894,1.30934,1.30801,1.30879,7282.23
03.01.2020 23:30:00.000 GMT+0530,1.30878,1.30896,1.30725,1.30841,7440.2202
04.01.2020 00:30:00.000 GMT+0530,1.30841,1.30846,1.30744,1.30784,9464.0801
04.01.2020 01:30:00.000 GMT+0530,1.30790,1.30790,1.30716,1.30732,2227.47
04.01.2020 02:30:00.000 GMT+0530,1.30731,1.30804,1.30705,1.30787,2251.9299
04.01.2020 03:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 04:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 05:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 06:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 07:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 08:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 09:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 10:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 11:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 12:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 13:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 14:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 15:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 16:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 17:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 18:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 19:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 20:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 21:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 22:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
04.01.2020 23:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 00:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 01:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 02:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
05.01.2020 03:30:00.000 GMT+0530,1.30787,1.30787,1.30787,1.30787,0
